Wall time,Step,Value
1521227778.9917493,0,2.8159141540527344
1521228930.0423744,1,2.7254607677459717
1521230183.6361718,2,2.656536817550659
1521231485.7864878,3,2.5966291427612305
1521232857.5234153,4,2.542677879333496
1521234132.2018688,5,2.4886953830718994
1521235326.5013962,6,2.4368114471435547
1521236567.1929557,7,2.3906733989715576
1521237800.2539282,8,2.347912073135376
1521239070.9738524,9,2.3066537380218506
1521240323.6778033,10,2.2696094512939453
1521241523.907194,11,2.2313168048858643
1521242664.0407364,12,2.1995606422424316
1521243742.688694,13,2.166116714477539
1521244820.444324,14,2.1351685523986816
1521245899.909847,15,2.1128509044647217
1521246986.1001022,16,2.0779664516448975
1521248105.0622406,17,2.078707456588745
1521249247.548334,18,2.034944534301758
1521250387.7891667,19,2.018538475036621
